Country,EPI 2000,EPI 2002,EPI 2004,EPI 2006,EPI 2008,EPI 2010,EPI 2012,EPI 2014,EPI 2016,EPI 2018,EPI 2020,CCPI 2008,CCPI 2009,CCPI 2010,CCPI 2011,CCPI 2012,CCPI 2013,CCPI 2014,CCPI 2015,CCPI 2016,CCPI 2017,CCPI 2018,CCPI 2019,CCPI 2020,2014 Sustainable Competitiveness,2015 Sustainable Competitiveness,2016 Sustainable Competitiveness,2017 Sustainable Competitiveness,2018 Sustainable Competitiveness,2019 Sustainable Competitiveness,2020 Sustainable Competitiveness,2014 Natural capital,2015 Natural capital,2016 Natural capital,2017 Natural capital,2018 Natural capital,2019 Natural capital,2020 Natural capital,2014 Resource Intensity,2015 Resource Intensity,2016 Resource Intensity,2017 Resource Intensity,2018 Resource Intensity,2019 Resource Intensity,2020 Resource Intensity,2014 Social capital,2015 Social capital,2016 Social capital,2017 Social capital,2018 Social capital,2019 Social capital,2020 Social capital,2014 Intellectual capital,2015 Intellectual capital,2016 Intellectual capital,2017 Intellectual capital,2018 Intellectual capital,2019 Intellectual capital,2020 Intellectual capital,2014 Governance ,2015 Governance ,2016 Governance ,2017 Governance ,2018 Governance ,2019 Governance ,2020 Governance ,GDP PER CAPITA PER CAPITA 2000 ,GDP PER CAPITA PER CAPITA 2001 ,GDP PER CAPITA 2002 ,GDP PER CAPITA 2003,GDP PER CAPITA 2004 ,GDP PER CAPITA 2005 ,GDP PER CAPITA 2006 ,GDP PER CAPITA 2007 ,GDP PER CAPITA 2008 ,GDP PER CAPITA 2009,GDP PER CAPITA 2010 ,GDP PER CAPITA 2011 ,GDP PER CAPITA 2012 ,GDP PER CAPITA 2013 ,GDP PER CAPITA 2014 ,GDP PER CAPITA 2015 ,GDP PER CAPITA 2016 ,GDP PER CAPITA 2017 ,GDP PER CAPITA 2018 ,GDP PER CAPITA 2019 ,GDP PER CAPITA 2020 ,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,Continent_Name,Continent_Code,Country_Name,Two_Letter_Country_Code,Country_Number
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,35.38,34.50,35.06,36.55,34.46,36.69,34.96,43.64,40.38,37.55,39.86,35.46,34.77,41.62,43.64,38.51,41.43,43.60,64.09,45.45,36.82,36.27,36.93,59.27,55.07,38.55,38.34,32.64,19.10,18.98,21.17,20.48,19.95,23.92,19.87,39.45,37.71,39.24,39.96,33.36,40.97,43.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,58.98,61.43,64.54,66.62,67.46,71.42,65.85,54.73,74.38,65.46,49,,,,,,,,,,,,,,39.59,39.89,43.76,46.6,45.31,44.97,47.44,44.87,42.48,44.23,46.91,46.02,45.9,51.43,44.87,37.64,43.36,43.37,56.01,45.36,49.72,40.03,40.43,63.29,58.63,45.28,45.48,45.25,36.5,35.04,41.83,45.63,38.18,39.22,41.66,38.46,43.89,47.71,50.83,51.27,48.88,49.14,3862.48,4301.38,4661.38,4994.92,5423.2,5865.32,6557.8,7274.52,8228.33,8819.51,9636.11,10207.73,10526.32,10570.97,11259.3,11658.87,12078.8,12770.98,13546.48,14230.99,13817.76,ALB,"Population, total",SP.POP.TOTL,1608800,1659800,1711319,1762621,1814135,1864791,1914573,1965598,2022272,2081695,2135479,2187853,2243126,2296752,2350124,2404831,2458526,2513546,2566266,2617832,2671997,2726056,2784278,2843960,2904429,2964762,3022635,3083605,3142336,3227943,3286542,3266790,3247039,3227287,3207536,3187784,3168033,3148281,3128530,3108778,3089027,3060173,3051010,3039616,3026939,3011487,2992547,2970017,2947314,2927519,2913021,2905195,2900401,2895092,2889104,2880703,2876101,2873457,2866376,2854191,2837743,Europe,EU,"Albania, Republic of",AL,8
Algeria,46.81,47.51,48.17,48.93,49.79,67.41,48.56,50.08,70.28,57.18,44.8,50.5,54.6,55.1,57.5,54.4,52.34,49.92,54.46,53.3,48.46,43.61,42.1,41.45,42.09,42.17,40.43,40.96,40.97,43.62,41.1,44.98,43.43,39.85,38.75,38.09,35.94,40.96,44.98,34.26,37.35,44.12,55.14,48.65,39.76,43.36,45.99,60.03,58.08,41.65,46.7,41.62,37.17,35.03,35.16,32.9,33.29,38.39,35.67,51.61,52.13,44.71,46.94,43.15,48.41,47.49,8446.59,8775.12,9293.84,10019.36,10591.04,11405.64,11776.04,12311.04,12643.15,12722.38,13095.45,13500.04,13303.33,13056.8,13003.27,12015.63,11624.34,11737.42,11921.73,11997.34,11268.26,DZA,"Population, total",SP.POP.TOTL,11057864,11336336,11619828,11912800,12221675,12550880,12902626,13275020,13663581,14061724,14464992,14872253,15285992,15709831,16149018,16607706,17085799,17582899,18102266,18647801,19221659,19824297,20452901,21101875,21763578,22431507,23102386,23774287,24443472,25106192,25758872,26400468,27028330,27635517,28213777,28757788,29266415,29742980,30192750,30623406,31042238,31451513,31855110,32264159,32692153,33149720,33641007,34166976,34730604,35333882,35977451,36661438,37383899,38140135,38923688,39728020,40551398,41389174,42228415,43053054,43851043,Africa,AF,"Algeria, People's Democratic Republic of",DZ,12
Angola,42.79,43.72,45.15,47.51,48.47,36.35,47.57,28.69,51.32,37.44,29.7,,,,,,,,,,,,,,37.62,38.97,40.34,40.97,40.65,40.74,40.33,56.02,56.04,57.87,59.57,54.44,53.94,55.74,56.02,45.31,57.82,55.07,50.1,57.69,55.49,31.94,30.96,60.36,57.09,37.11,39.19,35,17.73,23.09,22.32,18.94,24.81,21.79,21.3,43.15,39.47,32.9,33.95,29.43,31.07,34.11,3289.41,3389.2,3785.15,3838.8,4225.47,4837.71,5362.02,6050.61,6607.29,6470.68,6587.99,6710.75,7412.97,7682.48,8179.3,7337.57,7103.23,7310.9,7099.97,6952.42,6538.45,AGO,"Population, total",SP.POP.TOTL,5454938,5531451,5608499,5679409,5734995,5770573,5781305,5774440,5771973,5803677,5890360,6041239,6248965,6497283,6761623,7023994,7279630,7533814,7790774,8058112,8341290,8640478,8952971,9278104,9614756,9961993,10320116,10689247,11068051,11454784,11848385,12248901,12657361,13075044,13503753,13945205,14400722,14871572,15359600,15866871,16395477,16945753,17519418,18121477,18758138,19433604,20149905,20905360,21695636,22514275,23356247,24220660,25107925,26015786,26941773,27884380,28842482,29816769,30809787,31825299,32866268,Africa,AF,"Angola, Republic of",AO,24
Argentina,51.73,53.01,53.12,55.2,56.07,61.05,56.48,49.55,79.84,59.3,52.2,58.5,57.1,52.2,52.4,50.8,49.97,53.6,49.61,48.34,53.15,41.21,49.01,43.77,45.94,45.13,46.21,45.35,47.29,45.03,48.06,54.41,55.53,56.55,54.08,52.33,51.83,57.9,54.41,31.4,39.44,40.3,58.26,42.66,47.93,46.32,44.97,60.05,55.02,48.83,47.08,47.37,41.02,36.01,40.63,39.01,39.99,33.66,34.37,56.6,57.76,49.68,51.86,53.76,49.91,52.75,11618.79,11226.88,10052.49,11025.19,12214.74,13568.77,14951.73,16570.01,17404.07,16334.74,18061.93,19322.23,19641.35,20131.68,19683.77,20105.2,20307.87,23597.12,23305.85,22996.99,20767.61,ARG,"Population, total",SP.POP.TOTL,20481781,20817270,21153042,21488916,21824427,22159644,22494031,22828872,23168268,23517613,23880564,24259564,24653172,25056475,25462305,25865775,26264681,26661397,27061041,27471046,27896532,28338514,28794550,29262049,29737097,30216284,30698964,31184411,31668939,32148137,32618648,33079002,33529320,33970103,34402669,34828168,35246376,35657438,36063451,36467218,36870796,37275644,37681743,38087866,38491970,38892924,39289876,39684303,40080159,40482786,40788453,41261490,41733271,42202935,42669500,43131966,43590368,44044811,44494502,44938712,45376763,South America,SA,"Argentina, Argentine Republic",AR,32
Armenia,44.61,46.23,46.64,46.65,46.46,60.44,47.48,61.67,81.6,62.07,52.3,,,,,,,,,,,,,,44.44,43.24,43.79,43.43,43.28,43.33,47.25,42.15,43.33,38.91,38.83,37.68,36.57,39.27,42.15,33.58,44.64,42.22,56.15,44.37,48.9,48.35,47.5,58.25,49.94,45.69,49.89,51.56,49.29,41.81,37.29,40.46,37.89,34.16,38.39,48.56,49.99,51.38,50.01,51.06,51.64,58.12,2658.34,2995.91,3463.99,4043.66,4614.87,5455.43,6411.82,7551.64,8300.49,7233.04,7506.32,8025.46,9364.38,9835.8,10036.89,9969.66,10704.23,12115.14,13020.4,14231.18,13284.16,ARM,"Population, total",SP.POP.TOTL,1874119,1941498,2009524,2077584,2145004,2211316,2276038,2339133,2401142,2462938,2525067,2587716,2650484,2712780,2773750,2832752,2889583,2944375,2997419,3049107,3099759,3148096,3193696,3238592,3285593,3335935,3392264,3451947,3504667,3536473,3538164,3505249,3442820,3363111,3283664,3217349,3168213,3133081,3108691,3089020,3069597,3050686,3033976,3017938,3000715,2981262,2958301,2932615,2907615,2888094,2877314,2876536,2884239,2897593,2912403,2925559,2936147,2944789,2951741,2957728,2963234,Europe,EU,"Armenia, Republic of",AM,51
Australia,56.33,56.91,57.51,56.59,56.64,65.66,56.61,82.4,87.22,74.12,74.9,35.5,41.7,41.9,42.9,49.8,55.39,41.53,35.57,36.56,40.66,25.03,31.27,30.75,46.98,46.44,49.14,48.19,48.1,47.6,50.21,48.96,49.1,51.99,52.55,47.9,50.04,55.49,48.96,35.01,40.92,46.15,57.05,48.99,43.03,50.72,50.85,52.39,56.43,49.61,49.66,54.52,43.82,41.28,50.55,42.07,43.5,39.9,46.41,53.7,55.94,53.69,51.11,50.52,49.43,51.61,26321.45,27373.46,28718.24,29734.72,31308.21,32575.07,34288.86,36544.89,37459.31,40300.76,39301.34,41965.36,42826.79,45902.05,46880.22,46288.33,47339.97,48482.65,50252.84,52203.13,52518.32,AUS,"Population, total",SP.POP.TOTL,10276477,10483000,10742000,10950000,11167000,11388000,11651000,11799000,12009000,12263000,12507000,12937000,13177000,13380000,13723000,13893000,14033000,14192000,14358000,14514000,14692000,14927000,15178000,15369000,15544000,15758000,16018400,16263900,16532200,16814400,17065100,17284000,17495000,17667000,17855000,18072000,18311000,18517000,18711000,18926000,19153000,19413000,19651400,19895400,20127400,20394800,20697900,20827600,21249200,21691700,22031750,22340024,22733465,23128129,23475686,23815995,24190907,24601860,24982688,25365745,25687041,Oceania,OC,"Australia, Commonwealth of",AU,36
Austria,67.88,67.67,67.72,68.4,69.09,78.13,68.92,78.32,86.64,78.97,79.6,48.7,45,48.2,52.9,54.3,58.09,57.19,55.39,50.69,52,49.49,48.78,44.74,51.33,52.52,53.77,54.77,55.19,54.17,56.67,55.04,55.66,53.48,47.83,47.28,43.39,51.18,55.04,38.7,40.67,48.6,52.34,53.5,49.1,56.6,58.33,62.95,54.91,55.08,56.97,60.9,53.32,53.21,58.18,61.63,60,56.09,59.74,51.41,56.73,57.93,60.88,61.24,60.91,62.45,29388.78,29715.64,31178.69,32111.12,33745.85,35013.71,37611.8,39382.8,41316.23,40948.22,42041.49,44452.73,46457.35,47922.05,48799.72,49865.9,52684.02,54169.96,57050.35,58649.67,55097.46,AUT,"Population, total",SP.POP.TOTL,7047539,7086299,7129864,7175811,7223801,7270889,7322066,7376998,7415403,7441055,7467086,7500482,7544201,7586115,7599038,7578903,7565525,7568430,7562305,7549425,7549433,7568710,7574140,7561910,7561434,7564985,7569794,7574586,7585317,7619567,7677850,7754891,7840709,7905633,7936118,7948278,7959017,7968041,7976789,7992324,8011566,8042293,8081957,8121423,8171966,8227829,8268641,8295487,8321496,8343323,8363404,8391643,8429991,8479823,8546356,8642699,8736668,8797566,8840521,8879920,8917205,Europe,EU,"Austria, Republic of",AT,40
Azerbaijan,33.66,37.29,39.06,41.12,42.06,59.08,43.11,55.47,83.78,62.33,46.5,,,,,,,,,,,,,,39.71,38.74,40.14,40.22,42.08,41.45,45.08,30.97,30.04,29.04,31.94,32.61,33.66,43.56,30.97,37.14,39.14,42.66,47.17,44.1,46.33,41.85,42.98,58.58,46.01,47.62,47.34,47.88,34.52,29.49,33.76,36.07,39.77,33.82,38.19,52.03,54.07,52.48,47.03,46.56,48.35,49.43,3442.63,3836.6,4233.44,4716.38,5245.43,6850.81,9387.11,11957.39,13200.94,14248.89,14926.64,14804.57,15957.72,17188.95,17443.88,14938.4,14371.02,14121.41,14550.82,15049.94,14451.98,AZE,"Population, total",SP.POP.TOTL,3895398,4030325,4171428,4315127,4456691,4592601,4721528,4843872,4960237,5071930,5180032,5284518,5385266,5483088,5579071,5674129,5768730,5863138,5957927,6053635,6150735,6249312,6349555,6452067,6557581,6666447,6778631,6893486,7010027,7126877,7159000,7271000,7382000,7495000,7597000,7685000,7763000,7838250,7913000,7982750,8048600,8111200,8171950,8234100,8306500,8391850,8484550,8581300,8763400,8947243,9054332,9173082,9295784,9416801,9535079,9649341,9757812,9854033,9939771,10024283,10110116,Europe,EU,"Azerbaijan, Republic of",AZ,31
Bahamas,,,,,,,,,,,,,,,,,,,,,,,,,39.21,39.15,40.62,41.60,42.08,30.52,43.13,50.94,50.80,49.24,46.31,32.61,35.81,46.23,50.94,30.42,34.32,36.00,47.17,27.05,40.11,39.29,37.35,49.99,47.63,,23.91,41.73,37.71,38.11,42.37,37.42,,24.13,33.30,37.78,39.07,40.24,50.29,,41.72,54.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
