Country,EPI 2000,EPI 2002,EPI 2004,EPI 2006,EPI 2008,EPI 2010,EPI 2012,EPI 2014,EPI 2016,EPI 2018,EPI 2020,CCPI 2008,CCPI 2009,CCPI 2010,CCPI 2011,CCPI 2012,CCPI 2013,CCPI 2014,CCPI 2015,CCPI 2016,CCPI 2017,CCPI 2018,CCPI 2019,CCPI 2020,2014 Sustainable Competitiveness,2015 Sustainable Competitiveness,2016 Sustainable Competitiveness,2017 Sustainable Competitiveness,2018 Sustainable Competitiveness,2019 Sustainable Competitiveness,2020 Sustainable Competitiveness,2014 Natural capital,2015 Natural capital,2016 Natural capital,2017 Natural capital,2018 Natural capital,2019 Natural capital,2020 Natural capital,2014 Resource Intensity,2015 Resource Intensity,2016 Resource Intensity,2017 Resource Intensity,2018 Resource Intensity,2019 Resource Intensity,2020 Resource Intensity,2014 Social capital,2015 Social capital,2016 Social capital,2017 Social capital,2018 Social capital,2019 Social capital,2020 Social capital,2014 Intellectual capital,2015 Intellectual capital,2016 Intellectual capital,2017 Intellectual capital,2018 Intellectual capital,2019 Intellectual capital,2020 Intellectual capital,2014 Governance ,2015 Governance ,2016 Governance ,2017 Governance ,2018 Governance ,2019 Governance ,2020 Governance ,GDP PER CAPITA PER CAPITA 2000 ,GDP PER CAPITA PER CAPITA 2001 ,GDP PER CAPITA 2002 ,GDP PER CAPITA 2003,GDP PER CAPITA 2004 ,GDP PER CAPITA 2005 ,GDP PER CAPITA 2006 ,GDP PER CAPITA 2007 ,GDP PER CAPITA 2008 ,GDP PER CAPITA 2009,GDP PER CAPITA 2010 ,GDP PER CAPITA 2011 ,GDP PER CAPITA 2012 ,GDP PER CAPITA 2013 ,GDP PER CAPITA 2014 ,GDP PER CAPITA 2015 ,GDP PER CAPITA 2016 ,GDP PER CAPITA 2017 ,GDP PER CAPITA 2018 ,GDP PER CAPITA 2019 ,GDP PER CAPITA 2020 
Albania,58.98,61.43,64.54,66.62,67.46,71.42,65.85,54.73,74.38,65.46,49,,,,,,,,,,,,,,39.59,39.89,43.76,46.6,45.31,44.97,47.44,44.87,42.48,44.23,46.91,46.02,45.9,51.43,44.87,37.64,43.36,43.37,56.01,45.36,49.72,40.03,40.43,63.29,58.63,45.28,45.48,45.25,36.5,35.04,41.83,45.63,38.18,39.22,41.66,38.46,43.89,47.71,50.83,51.27,48.88,49.14,3862.48,4301.38,4661.38,4994.92,5423.2,5865.32,6557.8,7274.52,8228.33,8819.51,9636.11,10207.73,10526.32,10570.97,11259.3,11658.87,12078.8,12770.98,13546.48,14230.99,13817.76
Algeria,46.81,47.51,48.17,48.93,49.79,67.41,48.56,50.08,70.28,57.18,44.8,50.5,54.6,55.1,57.5,54.4,52.34,49.92,54.46,53.3,48.46,43.61,42.1,41.45,42.09,42.17,40.43,40.96,40.97,43.62,41.1,44.98,43.43,39.85,38.75,38.09,35.94,40.96,44.98,34.26,37.35,44.12,55.14,48.65,39.76,43.36,45.99,60.03,58.08,41.65,46.7,41.62,37.17,35.03,35.16,32.9,33.29,38.39,35.67,51.61,52.13,44.71,46.94,43.15,48.41,47.49,8446.59,8775.12,9293.84,10019.36,10591.04,11405.64,11776.04,12311.04,12643.15,12722.38,13095.45,13500.04,13303.33,13056.8,13003.27,12015.63,11624.34,11737.42,11921.73,11997.34,11268.26
Angola,42.79,43.72,45.15,47.51,48.47,36.35,47.57,28.69,51.32,37.44,29.7,,,,,,,,,,,,,,37.62,38.97,40.34,40.97,40.65,40.74,40.33,56.02,56.04,57.87,59.57,54.44,53.94,55.74,56.02,45.31,57.82,55.07,50.1,57.69,55.49,31.94,30.96,60.36,57.09,37.11,39.19,35,17.73,23.09,22.32,18.94,24.81,21.79,21.3,43.15,39.47,32.9,33.95,29.43,31.07,34.11,3289.41,3389.2,3785.15,3838.8,4225.47,4837.71,5362.02,6050.61,6607.29,6470.68,6587.99,6710.75,7412.97,7682.48,8179.3,7337.57,7103.23,7310.9,7099.97,6952.42,6538.45
Argentina,51.73,53.01,53.12,55.2,56.07,61.05,56.48,49.55,79.84,59.3,52.2,58.5,57.1,52.2,52.4,50.8,49.97,53.6,49.61,48.34,53.15,41.21,49.01,43.77,45.94,45.13,46.21,45.35,47.29,45.03,48.06,54.41,55.53,56.55,54.08,52.33,51.83,57.9,54.41,31.4,39.44,40.3,58.26,42.66,47.93,46.32,44.97,60.05,55.02,48.83,47.08,47.37,41.02,36.01,40.63,39.01,39.99,33.66,34.37,56.6,57.76,49.68,51.86,53.76,49.91,52.75,11618.79,11226.88,10052.49,11025.19,12214.74,13568.77,14951.73,16570.01,17404.07,16334.74,18061.93,19322.23,19641.35,20131.68,19683.77,20105.2,20307.87,23597.12,23305.85,22996.99,20767.61
Armenia,44.61,46.23,46.64,46.65,46.46,60.44,47.48,61.67,81.6,62.07,52.3,,,,,,,,,,,,,,44.44,43.24,43.79,43.43,43.28,43.33,47.25,42.15,43.33,38.91,38.83,37.68,36.57,39.27,42.15,33.58,44.64,42.22,56.15,44.37,48.9,48.35,47.5,58.25,49.94,45.69,49.89,51.56,49.29,41.81,37.29,40.46,37.89,34.16,38.39,48.56,49.99,51.38,50.01,51.06,51.64,58.12,2658.34,2995.91,3463.99,4043.66,4614.87,5455.43,6411.82,7551.64,8300.49,7233.04,7506.32,8025.46,9364.38,9835.8,10036.89,9969.66,10704.23,12115.14,13020.4,14231.18,13284.16
Australia,56.33,56.91,57.51,56.59,56.64,65.66,56.61,82.4,87.22,74.12,74.9,35.5,41.7,41.9,42.9,49.8,55.39,41.53,35.57,36.56,40.66,25.03,31.27,30.75,46.98,46.44,49.14,48.19,48.1,47.6,50.21,48.96,49.1,51.99,52.55,47.9,50.04,55.49,48.96,35.01,40.92,46.15,57.05,48.99,43.03,50.72,50.85,52.39,56.43,49.61,49.66,54.52,43.82,41.28,50.55,42.07,43.5,39.9,46.41,53.7,55.94,53.69,51.11,50.52,49.43,51.61,26321.45,27373.46,28718.24,29734.72,31308.21,32575.07,34288.86,36544.89,37459.31,40300.76,39301.34,41965.36,42826.79,45902.05,46880.22,46288.33,47339.97,48482.65,50252.84,52203.13,52518.32
Austria,67.88,67.67,67.72,68.4,69.09,78.13,68.92,78.32,86.64,78.97,79.6,48.7,45,48.2,52.9,54.3,58.09,57.19,55.39,50.69,52,49.49,48.78,44.74,51.33,52.52,53.77,54.77,55.19,54.17,56.67,55.04,55.66,53.48,47.83,47.28,43.39,51.18,55.04,38.7,40.67,48.6,52.34,53.5,49.1,56.6,58.33,62.95,54.91,55.08,56.97,60.9,53.32,53.21,58.18,61.63,60,56.09,59.74,51.41,56.73,57.93,60.88,61.24,60.91,62.45,29388.78,29715.64,31178.69,32111.12,33745.85,35013.71,37611.8,39382.8,41316.23,40948.22,42041.49,44452.73,46457.35,47922.05,48799.72,49865.9,52684.02,54169.96,57050.35,58649.67,55097.46
Azerbaijan,33.66,37.29,39.06,41.12,42.06,59.08,43.11,55.47,83.78,62.33,46.5,,,,,,,,,,,,,,39.71,38.74,40.14,40.22,42.08,41.45,45.08,30.97,30.04,29.04,31.94,32.61,33.66,43.56,30.97,37.14,39.14,42.66,47.17,44.1,46.33,41.85,42.98,58.58,46.01,47.62,47.34,47.88,34.52,29.49,33.76,36.07,39.77,33.82,38.19,52.03,54.07,52.48,47.03,46.56,48.35,49.43,3442.63,3836.6,4233.44,4716.38,5245.43,6850.81,9387.11,11957.39,13200.94,14248.89,14926.64,14804.57,15957.72,17188.95,17443.88,14938.4,14371.02,14121.41,14550.82,15049.94,14451.98
Bangladesh,38.23,39.04,40.18,41.44,42.14,43.95,42.55,25.61,41.77,29.56,29,,,,,,,,,,,,,,37.38,37.41,36.87,38.08,40.69,39.13,43.3,32.03,31.18,24.28,30.41,30.6,30.83,40.14,32.03,40.23,45.58,46.25,51.74,48.75,60.82,39.71,40.84,57.1,58.45,41.25,42.06,41.47,22.07,23.54,21.13,20.97,27.9,18.47,19.87,52.28,51.28,54.17,51.47,55.39,55.54,54.2,1331.55,1403.13,1453.26,1523.8,1620.43,1753.87,1901.72,2065.15,2206.51,2309.56,2439.07,2620.83,2937.63,3143.59,3368.06,3555.51,3848.96,4160.7,4547.48,4954.76,5082.68
Belarus,49.36,49.97,50.54,51.93,53.46,65.37,53.88,67.69,82.3,64.98,53,47.8,49.8,51.4,57.6,56.3,57.98,56.48,54.54,51.18,46.86,56.38,53.31,44.18,47.71,46.79,49.24,48.92,49.7,47.85,48.56,53.32,54.54,58.7,53.73,52.51,52.77,59.67,53.32,30.17,39.45,45.55,61.41,48.95,38.96,46.47,45.93,58.4,47.56,45.72,46.17,52.01,54.65,45.93,45.34,43.21,43.17,38.91,41.69,51.54,57.39,54.44,55.93,58.62,52.43,50.47,5808.36,6248.21,6709.85,7367.19,8489.48,9642.43,10994.77,12317.46,13885.75,14050.88,15349.23,16543.04,18071.51,18948.47,18955.91,18041.24,17725.75,18280.2,19338.67,20098.6,20199.7
